,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Area
178,Nearby Deurali Janata Pharmaceutical,Kathmandu,70000,0,0,4.00,1,East,6.00
179,Nayabazar,Kathmandu,3500000,0,0,0.00,0,South West,1.00
180,Shankhamul,Kathmandu,760000,0,0,0.00,0,North West,1.00
181,Nayabazar,Kathmandu,7000000,0,0,0.00,0,South East,2.50
182,Taukhel,Kathmandu,2500000,0,0,0.00,0,South West,11.50
183,Bijeshori,Kathmandu,6000000,0,0,0.00,0,North,8.00
184,Samakhusi Inside Ring Road,Kathmandu,24500000,0,3,2.00,1,East,3.00
185,Budhanilkantha,Kathmandu,2850000,0,0,0.00,0,West,17.00
186,Taukhel,Kathmandu,2500000,0,0,0.00,0,South East,11.50
187,Bohoratar,Kathmandu,40000,0,0,0.00,0,West,16.00
188,Baral danda Marga,Pokhara,30000,3,2,2.00,3,East,3.00
189,Narayanthan,Kathmandu,2600000,0,0,0.00,0,North,32.00
190,Basukinagtole,Kathmandu,17000000,5,3,3.00,1,West,3.00
191,Syani Patan,Pokhara,15000,2,1,0.00,1,East,8.50
192,Raniban,Kathmandu,2850000,0,0,0.00,0,South East,5.25
193,Thulobharyang,Kathmandu,4000000,0,0,0.00,0,South East,48.00
194,Dharan,Sunsari,250000,0,0,0.00,0,East,1.99
195,Opposite of Siddartha Bank,Kathmandu,15000000,0,0,0.00,1,East,13.62
196,Dharan,Sunsari,235000,0,0,0.00,0,East,2.59
197,Ramkot,Kathmandu,40000,4,3,3.00,1,South East,4.38
198,chuchchepati,Kathmandu,5500000,0,0,0.00,0,South East,18.00
199,Basbari,Kathmandu,200000,6,4,0.00,2,East,10.00
200,Ichangu,Kathmandu,1150000,0,0,0.00,0,East,7.25
201,Siddhartha marga,Kathmandu,30000,6,2,3.00,2,East,16.00
202,Soaltee mode,Kathmandu,40000,3,2,0.00,1,East,10.00
203,budhanilkantha,Kathmandu,200000,5,4,0.00,4,East,25.00
204,Thaha muncipility,Makwanpur,300000,0,0,0.00,0,North West,144.00
205,Sitapaila,Kathmandu,4200000,0,0,0.00,0,East,13.00
206,Patan,Lalitpur,3500000,0,0,0.00,0,East,4.38
207,Jhamsikhel,Lalitpur,11900000,2,1,0.00,0,North,2.00
208,pasikot,Kathmandu,28500000,6,6,0.00,1,South East,5.50
209,Tikathali,Lalitpur,21500000,0,0,0.00,1,South West,3.50
210,Dhumbarahi,Kathmandu,20000,2,1,0.00,0,West,3.50
211,Paiyatar,Kathmandu,3000000,0,0,0.00,0,East,4.00
212,Badikhel (Godawari),Lalitpur,12500000,3,1,2.00,1,West,5.00
213,soltee dobato,Kathmandu,32500000,11,0,0.00,1,East,4.50
214,Bojepokhari,Lalitpur,22000000,5,3,2.50,1,North West,4.00
215,Congress chowk,Nawalpur,11000000,3,4,0.00,1,East,4.00
216,Tarkeshwor,Kathmandu,17000000,0,2,3.00,1,South,3.10
217,Katunje,Bhaktapur,3000000,0,0,0.00,0,West,4.25
218,nearby Panityanki,Lalitpur,11000000,2,1,1.50,2,West,2.75
219,Lubhu Lamatar,Lalitpur,900000,0,0,0.00,0,East,5.00
220,Maitidevi Main Road,Kathmandu,15000000,0,0,0.00,0,East,8.00
